264	H.264/MPEG-4 AVC video file
3g2	3GPP2 multimedia file
3gp	Multimedia files for wireless networks
asf	Advanced Systems (streaming) format
asx	Microsoft Advanced Streaming Redirector file
avi	Audio Video Interleave movie file
bik	BINK video file
dash	Dynamic Adaptive Streaming over HTTP video file
dat	Video CD MPEG movie MPEG1
dvr	Microsoft Windows XP Media Center recorded television file
flv	Flash video file
h264	H.264 video file
m2t	MPEG-2 transport stream file
m2ts	MPEG-2 stream (Blu-Ray)
m4v	MPEG-4 video file format
mkv	Matroska video-audio multimedia file
mod	Hard disk camera movie MPEG-2 program stream file
mov	Apple QuickTime digital movie file
mp4	MPEG-4 video file format
mpeg	MPEG movie
mpg	MPEG 1 video file format
mswmm	Microsoft Windows Movie Maker project file
mts	AVCHD MPEG-2 transport stream file
ogv	Ogg Vorbis video file
prproj	Adobe Premiere Pro project file
rec	Recorded file
rmvb	RealMedia variable bitrate file
swf	ShockWave Flash, Animated vector format for the Internet
tod	Hard disk camera movie MPEG-2 transport stream file
tp	MPEG-2 TV recorded file
ts	MPEG-TV recorded file
vob	DVD video object file
webm	Matroska WebM video file
wmv	Windows Media Video file
3ga	Audio file for wireless networks
aac	Advanced audio coding file
aiff	Audio Interchange File Format
amr	Adaptive Multi-Rate compressed audio file
ape	Monkey's Audio lossless audio compression format
asf	Advanced Systems (streaming) format
asx	Microsoft Advanced Streaming Redirector file
cda	CD Audio track
dvf	Sony DV voice file
flac	Audio files encoded by Flac - free lossless audio codec
gp4	Guitar Pro 4 project file
gp5	Guitar Pro 5 project file format
gpx	Guitar Pro 6 format
logic	Apple Logic Pro music project file
m4a	MPEG-4 compressed audio file
m4b	MPEG-4 Audio Layer audio book file
m4p	Apple iTunes Music Store audio file
midi	MIDI-sequention sound file
mp3	Compressed audio and music file, mp3 songs or ringtones
ogg	Ogg Vorbis audio file
pcm	PCM audio file
rec	Recorded file
snd	Sound file
sng	Song file
uax	Unreal audio package file
wav	WAVe PCM Sound, standard Windows sound format
wma	Windows Media Audio
wpl	Microsoft Windows Media Player playlist file
bmp	Standard Windows Bitmap image (also OS/2)
